collection,method,query,doc
posts,createIndex,[object Object],"{""unique"":true,""background"":true}"
categories,createIndex,[object Object],"{""unique"":true,""background"":true}"
users,createIndex,[object Object],"{""unique"":true,""background"":true}"
categories,createIndex,[object Object],"{""unique"":true,""background"":true}"
users,createIndex,[object Object],"{""unique"":true,""background"":true}"
posts,find,[object Object],"{""sort"":{""published"":-1},""projection"":{}}"
users,find,[object Object],"{""projection"":{""name"":1}}"
posts,find,[object Object],"{""sort"":{""published"":-1},""projection"":{}}"
users,find,[object Object],"{""projection"":{""name"":1}}"
users,findOne,[object Object],"{""projection"":{}}"
users,findOne,[object Object],"{""projection"":{}}"
users,findOne,[object Object],"{""projection"":{""email"":1,""name"":1}}"
posts,find,[object Object],"{""sort"":{""published"":-1},""projection"":{}}"
users,find,[object Object],"{""projection"":{""name"":1}}"
posts,find,[object Object],"{""sort"":{""published"":-1},""projection"":{}}"
users,find,[object Object],"{""projection"":{""name"":1}}"
posts,find,[object Object],"{""sort"":{""published"":-1},""projection"":{}}"
users,find,[object Object],"{""projection"":{""name"":1}}"
posts,find,[object Object],"{""sort"":{""published"":-1},""projection"":{}}"
users,find,[object Object],"{""projection"":{""name"":1}}"
posts,find,[object Object],"{""sort"":{""published"":-1},""projection"":{}}"
